# id,cle MSI_*  --  extrait de g_MsgStringSymbolNames (0x0104F0A8) de l'exe VANILLA 20250716.
# 4355 entrees (0..4354). C'est CETTE table qui donne l'id d'une cle, PAS le numero
# de ligne de data\msgstringtable.csv : le csv livre a 4360 lignes et diverge des l'id 4075.
# Genere par tools/lang/gen_msgstring.py --ids (dump IDA).
500,MSI_IMPOSSIBLE_TELEPORT_AREA
501,MSI_POSSIBLE_TELEPORT_AREA
502,MSI_CANT_EXIT_NOW
503,MSI_POSITION
504,MSI_JOB
505,MSI_MEMO
506,MSI_CONTRIBUTION
507,MSI_EXP_CONTIRIBUTION
508,MSI_LEAVE_GUILD
509,MSI_EXPEL_GUILD
510,MSI_GRADE
511,MSI_POSITION_NAME
512,MSI_JOIN_AUTHORITY
513,MSI_PENALTY_AUTORITY
514,MSI_CONTRIBUTION_PERCENT
515,MSI_TITLE
516,MSI_CONTENTS
517,MSI_GUILD_NAME
518,MSI_GUILD_LEVEL
519,MSI_GUILD_PEOPLE_COUNT
520,MSI_RANKING
521,MSI_ITEM_IDENTIFY
522,MSI_ITEM_COMPOUNDING
523,MSI_PLEASE_INPUT_WHY_LEAVING
524,MSI_PELASE_INPUT_WHY_EXPEL
525,MSI_PLEASE_CLOSE_STORE
526,MSI_SKILL_NAME
527,MSI_ITEM_NAME
528,MSI_SETTLE_WEB_URL
529,MSI_BAN_IP_OVERFLOW
530,MSI_BAN_PAY_OUT
531,MSI_NAMELENGTH_TOO_LONG
532,MSI_DELETE_AFTER_10_SECOND
533,MSI_BILLING_100
534,MSI_BILLING_200
535,MSI_BILLING_300
536,MSI_BILLING_400
537,MSI_BILLING_500
538,MSI_BILLING_501
539,MSI_BILLING_600
540,MSI_BILLING_700
541,MSI_BILLING_800
542,MSI_EMOTION_LIST
543,MSI_VIEW_EMOTION
544,MSI_EMOTION_SURPRISE
545,MSI_EMOTION_QUESTION
546,MSI_EMOTION_DELIGHT
547,MSI_EMOTION_THROB
